Trial,Time,Distance (feet and inches),Distance (meters)
1,1.16,19.91666667,6.0706
2,0.98,20.58333333,6.2738
3,1.08,18.58333333,5.6642
4,1.11,14.91666667,4.5466
5,1.07,13.16666667,4.0132
6,1,12.83333333,3.9116
7,1.11,19.5,5.9436
8,0.93,12.75,3.8862
9,1.03,11.75,3.5814
10,1,14.83333333,4.5212
11,0.97,12.5,3.81
12,1.11,19.83333333,6.0452
13,1.23,20.25,6.1722
14,1.16,21.58333333,6.5786
15,1.18,13.41666667,4.0894
16,1.15,18.375,5.6007
17,0.99,15.5,4.7244
18,0.98,18.625,5.6769
19,0.97,14.375,4.3815
20,1.23,16.25,4.953
21,1.34,19.5,5.9436
22,1.23,22.08333333,6.731
23,1.15,17.58333333,5.3594
24,1.07,18.83333333,5.7404
25,1.18,21.5,6.5532
26,1.21,19.83333333,6.0452
27,1.17,18.33333333,5.588
28,1.16,25.25,7.6962
29,1.2,25.5,7.7724
30,1.07,20,6.096
