Trial,Time,Distance (feet and inches),Distance (meters)
1,1.23,16.66666667,5.08
2,0.98,18.58333333,5.6642
3,1.04,18.41666667,5.6134
4,1.12,23.83333333,7.2644
5,1.01,16.5,5.0292
6,1.04,16.16666667,4.9276
7,1.11,19.91666667,6.0706
8,1.01,19.66666667,5.9944
9,1.04,19.33333333,5.8928
10,1.08,18.91666667,5.7658
11,1.07,16.95833333,5.1689
12,1.06,15.83333333,4.826
13,1.01,15.83333333,4.826
14,0.98,12.75,3.8862
15,0.93,21,6.4008
16,0.98,15.08333333,4.5974
17,1.08,16.83333333,5.1308
18,1.09,19.08333333,5.8166
19,0.95,13.66666667,4.1656
20,1.02,16.91666667,5.1562
21,1.06,19.83333333,6.0452
22,1.15,18.33333333,5.588
23,1.04,18.33333333,5.588
24,1.05,15.91666667,4.8514
25,1.11,21.25,6.477
26,1.21,16.5,5.0292
27,1.08,14.33333333,4.3688
28,1.15,17.20833333,5.2451
29,1.13,19.5,5.9436
30,1.26,18.79166667,5.7277
