Trial,Time,Distance (feet and inches),Distance (meters)
1,1.31,18.70833333,5.7023
2,1.18,17.58333333,5.3594
3,1.15,14.45833333,4.4069
4,1.21,18.125,5.5245
5,0.9,13.08333333,3.9878
6,1.14,17.75,5.4102
7,1.08,18.08333333,5.5118
8,1.12,18.5,5.6388
9,1.13,19.08333333,5.8166
10,0.99,15.66666667,4.7752
11,1.07,15,4.572
12,1.09,15.08333333,4.5974
13,1.09,13.33333333,4.064
14,0.98,10.5,3.2004
15,1.18,14.16666667,4.318
16,1.1,15.54166667,4.7371
17,1.11,13.125,4.0005
18,1.13,14.66666667,4.4704
19,0.94,13.33333333,4.064
20,1.31,18.91666667,5.7658
21,1.1,14.16666667,4.318
22,1.13,16,4.8768
23,1.13,16.16666667,4.9276
24,1.11,13.16666667,4.0132
25,1.05,13.16666667,4.0132
26,1.16,16,4.8768
27,1.27,17.83333333,5.4356
28,1.26,15.75,4.8006
29,1.14,15.25,4.6482
30,1.21,17.83333333,5.4356
